{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 0.1},82.60204081632652,61.284046692607006
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 0.1},1.3265306122448979,0.7782101167315175
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 1.0},42.397959183673464,33.46303501945525
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 1.0},1.530612244897959,1.3618677042801557
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 10.0},5.0,4.669260700389105
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 10.0},3.316326530612245,3.501945525291829
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.001, 'coef0': 0.001},99.18367346938776,62.840466926070036
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.01, 'coef0': 0.001},1.3775510204081634,0.9727626459143969
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.1, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 1.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 10.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 100.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.001, 'coef0': 0.01},99.18367346938776,62.840466926070036
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.01, 'coef0': 0.01},1.3265306122448979,0.5836575875486382
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.1, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 1.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 10.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 100.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.001, 'coef0': 0.1},99.13265306122449,62.06225680933852
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.01, 'coef0': 0.1},1.3265306122448979,0.7782101167315175
{'kernel': 'sigmoid', 'C': 100, 'gamma': 0.1, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 1.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 100, 'gamma': 10.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
