degree,gamma,C,coef0,Training Data, Validation Data
2,1.0,10,0.001,99.94897959183675,68.09338521400778
2,10.0,10,0.001,99.94897959183675,68.09338521400778
2,100.0,10,0.001,99.94897959183675,68.09338521400778
3,0.001,10,0.001,98.62244897959184,68.28793774319067
3,0.01,10,0.001,99.94897959183675,68.8715953307393
3,0.1,10,0.001,99.94897959183675,68.8715953307393
3,1.0,10,0.001,99.94897959183675,68.8715953307393
3,10.0,10,0.001,99.94897959183675,68.8715953307393
4,0.001,10,0.001,99.03061224489797,68.67704280155642
4,0.01,10,0.001,99.94897959183675,68.8715953307393
4,0.1,10,0.001,99.94897959183675,68.8715953307393
4,1.0,10,0.001,99.94897959183675,68.8715953307393
4,100.0,10,0.001,99.18367346938776,68.8715953307393
1,0.001,10,0.01,93.31632653061224,66.14785992217898
1,0.01,10,0.01,99.59183673469387,65.95330739299611
1,0.1,10,0.01,99.84693877551021,65.95330739299611
1,1.0,10,0.01,99.94897959183675,65.95330739299611
1,10.0,10,0.01,99.94897959183675,65.95330739299611
1,100.0,10,0.01,99.94897959183675,65.95330739299611
2,0.001,10,0.01,97.39795918367346,67.70428015564202
2,0.01,10,0.01,99.94897959183675,68.09338521400778
2,0.1,10,0.01,99.94897959183675,68.09338521400778
2,1.0,10,0.01,99.94897959183675,68.09338521400778
2,10.0,10,0.01,99.94897959183675,68.09338521400778
2,100.0,10,0.01,99.94897959183675,68.09338521400778
3,0.001,10,0.01,98.62244897959184,68.48249027237354
3,0.01,10,0.01,99.94897959183675,68.8715953307393
3,0.1,10,0.01,99.94897959183675,68.8715953307393
3,1.0,10,0.01,99.94897959183675,68.8715953307393
3,10.0,10,0.01,99.94897959183675,68.8715953307393
3,100.0,10,0.01,99.38775510204081,69.64980544747081
4,0.001,10,0.01,99.03061224489797,68.67704280155642
4,0.01,10,0.01,99.94897959183675,68.8715953307393
4,0.1,10,0.01,99.94897959183675,68.8715953307393
4,1.0,10,0.01,99.94897959183675,68.8715953307393
1,0.001,10,0.1,93.31632653061224,66.14785992217898
