coef0,gamma,C,degree,Training Data, Validation Data,,,
0.01,10,100,2,99.94897959,68.09338521,,,
0.01,100,100,2,99.94897959,68.09338521,,,
0.01,0.001,100,3,99.74489796,68.48249027,,,
0.01,0.01,100,3,99.94897959,68.87159533,,,
0.01,0.1,100,3,99.94897959,68.87159533,,,
0.01,1,100,3,99.94897959,68.87159533,,,
0.01,10,100,3,99.94897959,68.87159533,,,
0.01,100,100,3,98.87755102,68.87159533,,,
0.01,0.001,100,4,99.79591837,68.28793774,,,
0.01,0.01,100,4,99.94897959,68.87159533,,,
0.01,0.1,100,4,99.94897959,68.87159533,,,
0.01,1,100,4,99.94897959,68.87159533,,,
0.1,0.001,100,1,99.59183673,65.95330739,,,
0.1,0.01,100,1,99.84693878,65.95330739,,,
0.1,0.1,100,1,99.94897959,65.95330739,,,
0.1,1,100,1,99.94897959,65.95330739,,,
0.1,10,100,1,99.94897959,65.95330739,,,
0.1,100,100,1,99.94897959,65.95330739,,,
0.1,0.001,100,2,99.74489796,67.70428016,,,
0.1,0.01,100,2,99.94897959,68.09338521,,,
0.1,0.1,100,2,99.94897959,68.09338521,,,
0.1,1,100,2,99.94897959,68.09338521,,,
0.1,10,100,2,99.94897959,68.09338521,,,
0.1,100,100,2,99.94897959,68.09338521,,,
0.1,0.001,100,3,99.79591837,68.28793774,,,
0.1,0.01,100,3,99.94897959,68.87159533,,,
0.1,0.1,100,3,99.94897959,68.87159533,,,
0.1,1,100,3,99.94897959,68.87159533,,,
0.1,10,100,3,99.94897959,68.87159533,,,
0.1,100,100,3,98.87755102,68.6770428,,,
0.1,0.001,100,4,99.84693878,68.09338521,,,
0.1,0.01,100,4,99.94897959,68.87159533,,,
0.1,0.1,100,4,99.94897959,68.87159533,,,
0.1,1,100,4,99.94897959,68.87159533,,,
0.1,10,100,4,98.62244898,68.87159533,,,
0.1,100,100,4,99.18367347,68.87159533,,,
1,0.001,100,1,99.59183673,65.95330739,,,
1,0.01,100,1,99.84693878,65.95330739,,,
1,0.1,100,1,99.94897959,65.95330739,,,
1,1,100,1,99.94897959,65.95330739,,,
1,10,100,1,99.94897959,65.95330739,,,
1,100,100,1,99.94897959,65.95330739,,,
1,0.001,100,2,99.79591837,66.14785992,,,
1,0.01,100,2,99.94897959,67.89883268,,,
1,0.1,100,2,99.94897959,68.09338521,,,
1,1,100,2,99.94897959,68.09338521,,,
1,10,100,2,99.94897959,68.09338521,,,
1,100,100,2,99.94897959,68.09338521,,,
1,0.001,100,3,99.89795918,67.70428016,,,
1,0.01,100,3,99.94897959,68.48249027,,,
1,0.1,100,3,99.94897959,68.87159533,,,
1,1,100,3,99.94897959,68.87159533,,,
1,10,100,3,99.94897959,68.87159533,,,
1,100,100,3,98.87755102,68.6770428,,,
1,0.001,100,4,99.94897959,68.28793774,,,
1,0.01,100,4,99.94897959,68.6770428,,,
1,0.1,100,4,99.94897959,68.87159533,,,
1,1,100,4,99.94897959,68.87159533,,,
1,100,100,4,99.18367347,68.87159533,,,
10,0.001,100,1,99.59183673,65.95330739,,,
10,0.01,100,1,99.84693878,65.95330739,,,
10,0.1,100,1,99.94897959,65.95330739,,,
10,1,100,1,99.94897959,65.95330739,,,
10,10,100,1,99.94897959,65.95330739,,,
10,100,100,1,99.94897959,65.95330739,,,
10,0.001,100,2,99.94897959,65.75875486,,,
10,0.01,100,2,99.94897959,66.53696498,,,
10,0.1,100,2,99.94897959,67.89883268,,,
